date,pub_name,source,clicks,revenue
2019-10-01,micha,google,138,49.68
2019-10-01,mark,yahoo,263,231.44
2019-10-01,melanie,google,374,179.52
2019-10-01,logan,yahoo,492,403.44
2019-10-02,micha,yahoo,134,127.75
2019-10-02,mark,google,278,239.08
2019-10-02,melanie,yahoo,478,22.31
2019-10-02,logan,google,285,134.90
2019-10-03,micha,google,325,244.83
2019-10-03,mark,google,73,13.14
2019-10-03,melanie,google,100,94.67
2019-10-03,logan,google,424,330.72
2019-10-04,micha,google,489,65.20
2019-10-04,mark,google,244,92.72
2019-10-04,melanie,google,213,210.16
2019-10-04,logan,yahoo,84,6.16
2019-10-05,micha,yahoo,420,282.80
2019-10-05,mark,yahoo,421,140.33
2019-10-05,melanie,yahoo,239,184.83
2019-10-05,logan,yahoo,181,20.51
2019-10-06,micha,yahoo,103,4.81
2019-10-06,mark,google,494,55.99
2019-10-06,melanie,google,331,88.27
2019-10-06,logan,google,368,318.93
2019-10-07,micha,google,210,65.80
2019-10-07,mark,yahoo,147,128.38
2019-10-07,melanie,yahoo,108,59.76
2019-10-07,logan,yahoo,31,20.25
2019-10-08,micha,google,353,298.87
2019-10-08,mark,yahoo,44,26.69
2019-10-08,melanie,google,117,67.08
2019-10-08,logan,google,271,231.25
2019-10-09,micha,yahoo,111,90.28
2019-10-09,mark,google,364,283.92
2019-10-09,melanie,google,475,85.50
2019-10-09,logan,yahoo,49,26.79
2019-10-10,micha,google,231,107.80
2019-10-10,mark,google,158,122.19
2019-10-10,melanie,google,69,40.48
2019-10-10,logan,google,201,61.64
2019-10-11,micha,yahoo,188,159.17
2019-10-11,mark,yahoo,48,9.28
2019-10-11,melanie,google,206,145.57
2019-10-11,logan,google,129,100.62
2019-10-12,micha,yahoo,109,86.47
2019-10-12,mark,yahoo,161,156.71
2019-10-12,melanie,yahoo,375,27.50
2019-10-12,logan,yahoo,467,62.27
2019-10-13,micha,google,37,22.94
2019-10-13,mark,google,371,262.17
2019-10-13,melanie,google,38,1.27
2019-10-13,logan,yahoo,307,151.45
2019-10-14,micha,google,86,36.12
2019-10-14,mark,google,147,23.52
2019-10-14,melanie,yahoo,114,23.56
2019-10-14,logan,google,376,300.80
2019-10-15,micha,google,378,221.76
2019-10-15,mark,yahoo,261,212.28
2019-10-15,melanie,google,295,116.03
2019-10-15,logan,yahoo,221,184.17
2019-10-16,micha,yahoo,316,107.44
2019-10-16,mark,yahoo,164,106.05
2019-10-16,melanie,yahoo,241,17.67
2019-10-16,logan,yahoo,432,118.08
2019-10-17,micha,google,418,415.21
2019-10-17,mark,google,300,176.00
2019-10-17,melanie,yahoo,103,6.87
2019-10-17,logan,yahoo,138,29.44
2019-10-18,micha,yahoo,413,19.27
2019-10-18,mark,yahoo,307,36.84
2019-10-18,melanie,google,217,47.74
2019-10-18,logan,yahoo,275,157.67
2019-10-19,micha,google,465,365.80
2019-10-19,mark,yahoo,270,61.20
2019-10-19,melanie,yahoo,255,212.50
2019-10-19,logan,yahoo,45,16.80
2019-10-20,micha,google,138,129.72
2019-10-20,mark,google,498,169.32
2019-10-20,melanie,google,340,156.40
2019-10-20,logan,google,207,38.64
2019-10-21,micha,google,483,460.46
2019-10-21,mark,google,169,140.83
2019-10-21,melanie,google,217,65.10
2019-10-21,logan,google,490,392.00
2019-10-22,micha,yahoo,51,31.62
2019-10-22,mark,yahoo,434,2.89
2019-10-22,melanie,yahoo,209,30.65
2019-10-22,logan,yahoo,144,128.64
2019-10-23,micha,google,109,88.65
2019-10-23,mark,yahoo,499,182.97
2019-10-23,melanie,google,384,17.92
2019-10-23,logan,google,186,100.44
2019-10-24,micha,yahoo,162,114.48
2019-10-24,mark,yahoo,142,107.92
2019-10-24,melanie,google,106,46.64
2019-10-24,logan,google,105,87.50
2019-10-25,micha,google,245,238.47
2019-10-25,mark,google,293,220.73
2019-10-25,melanie,yahoo,366,43.92
2019-10-25,logan,google,112,11.20
2019-10-26,micha,yahoo,214,179.76
2019-10-26,mark,google,323,94.75
2019-10-26,melanie,google,66,36.08
2019-10-26,logan,google,437,142.75
2019-10-27,micha,google,260,195.87
2019-10-27,mark,google,138,47.84
2019-10-27,melanie,yahoo,365,46.23
2019-10-27,logan,yahoo,124,83.49
2019-10-28,micha,google,298,282.11
2019-10-28,mark,google,350,39.67
2019-10-28,melanie,yahoo,318,154.76
2019-10-28,logan,yahoo,247,189.37
2019-10-29,micha,google,44,13.79
2019-10-29,mark,yahoo,310,155.00
2019-10-29,melanie,yahoo,146,127.51
2019-10-29,logan,yahoo,492,357.52
2019-10-30,micha,yahoo,41,24.60
2019-10-30,mark,google,329,149.15
2019-10-30,melanie,google,46,38.33
2019-10-30,logan,yahoo,457,237.64
2019-10-31,micha,yahoo,463,450.65
2019-10-31,mark,google,376,82.72
2019-10-31,melanie,yahoo,97,73.07
2019-10-31,logan,yahoo,312,255.84
